enumerator_id,submission_id,gps_lat,gps_long,start_time,end_time,duration_minutes,consent,household_id,sync_status
E01,SUB0001,-1.302497,36.792321,2026-04-01 08:25,2026-04-01 09:15,50,Yes,HH140,Success
E01,SUB0002,-1.32702,36.791864,2026-04-01 15:12,2026-04-01 15:17,5,Yes,HH051,Success
E05,SUB0003,-1.285079,36.797819,2026-04-01 15:09,2026-04-01 15:26,17,Yes,HH041,Success
E04,SUB0004,-1.314452,36.865721,2026-04-01 13:48,2026-04-01 14:08,20,Yes,HH025,Success
E03,SUB0005,-1.303548,36.774345,2026-04-01 13:52,2026-04-01 14:33,41,Yes,HH097,Success
E01,SUB0006,-1.24706,36.831852,2026-04-01 17:25,2026-04-01 17:46,21,Yes,HH181,Success
E01,SUB0007,-1.30721,36.798939,2026-04-01 08:46,2026-04-01 09:31,45,Yes,HH026,Success
E04,SUB0008,-1.266432,36.806483,2026-04-01 12:44,2026-04-01 13:16,32,Yes,HH069,Success
E01,SUB0009,-1.257087,36.78634,2026-04-01 10:55,2026-04-01 11:32,37,Yes,HH164,Failed
E05,SUB0010,-1.297572,36.846831,2026-04-01 11:44,2026-04-01 12:30,46,Yes,HH081,Success
E04,SUB0011,-1.308902,36.864291,2026-04-01 12:34,2026-04-01 12:41,7,Yes,HH168,Success
E04,SUB0012,-1.238545,36.815885,2026-04-01 14:45,2026-04-01 15:44,59,Yes,HH144,Success
E05,SUB0013,-1.271541,36.859782,2026-04-01 12:29,2026-04-01 13:19,50,Yes,HH036,Success
E05,SUB0014,-1.254422,36.85611,2026-04-01 16:25,2026-04-01 16:33,8,Yes,HH175,Success
E04,SUB0015,-1.291838,36.869612,2026-04-01 09:05,2026-04-01 09:32,27,Yes,HH003,Failed
E01,SUB0016,-1.303317,36.834096,2026-04-01 17:09,2026-04-01 18:00,51,Yes,HH117,Success
E01,SUB0017,-1.253804,36.820768,2026-04-01 12:29,2026-04-01 13:04,35,Yes,HH164,Success
